abbreviation	description	formula	subsystem	ecnumber	keggId	keggorthology	cog	seed	metanetx
DOLPMT4_Ler	Dolichyl-Phosphate-Mannose-Glycolipid Alpha-Mannosyltransferase (Liver)	0.1 dolp_L[r] -> 0.1 dolp_L[c] 	N-glycan synthesis	2.4.1.130					
DOLPMT4_Uer	Dolichyl-Phosphate-Mannose-Glycolipid Alpha-Mannosyltransferase (Uterus)	0.1 dolp_U[r] -> 0.1 dolp_U[c] 	N-glycan synthesis	2.4.1.130					
DOPABMO	Dopamine Beta-Monooxygenase	ascb_L[c] + dopa[c] + h[c] + o2[c] -> dhdascb[c] + h2o[c] + nrpphr[c] 	Tyrosine metabolism	1.14.17.1					
DOPACHRMISO	L-Dopachrome Isomerase 1	2.0 2c23dh56dhoxin[c] + o2[c] -> 2.0 h2o[c] + 2.0 L_dpchrm[c] 	Tyrosine metabolism						MNXR97751
DOPAMT	Dopamine:Amet O-Methyltransferase	amet[c] + dopa[c] -> 3moxtyr[c] + ahcys[c] + h[c] 	Tyrosine metabolism	2.1.1.6	R04301				MNXR97752
DOPAQNISO1	Dopaquinone Isomerase 1	dopaqn[c] <=> 2c23dh56dhoxin[c] + h[c] 	Tyrosine metabolism						MNXR97753
DOPASFt	Transport of Dopamine 3-0-Sulfate (Diffusion)	dopasf[c] -> dopasf[e] 	Transport, extracellular						MNXR97754
DOPASULT	Dopamine Sulfotransferase	dopa[c] + paps[c] -> dopasf[c] + h[c] + pap[c] 	Tyrosine metabolism	2.8.2.1					MNXR97755
DOPAt4_2_r	Transport of Dopamine  via Sodium Symport (1:2), Reversible	dopa[e] + 2.0 na1[e] <=> dopa[c] + 2.0 na1[c] 	Transport, extracellular						
DOPAtu	Transport of Dopamine via Uniport	dopa[e] <=> dopa[c] 	Transport, extracellular						MNXR97758
DOPAVESSEC	Secretion of Dopamine via Secretory Vesicle (ATP Driven)	atp[c] + dopa[c] + h2o[c] -> adp[c] + dopa[e] + h[c] + pi[c] 	Transport, extracellular	2.1.1.6					
DORNOp	D-Ornithine Oxidase, Perixosomal	h2o[x] + o2[x] + orn_D[x] -> 5a2opntn[x] + h2o2[x] + nh4[x] 	Arginine and proline metabolism	1.4.3.3	R02457				MNXR97759
DPCOAtl	Transport of Dephospho Coenzyme A   via Diffusion, Lysosomal	dpcoa[l] <=> dpcoa[c] 	Transport, lysosomal						MNXR97764
DPGase	Diphosphoglycerate Phosphatase	23dpg[c] + h2o[c] -> 3pg[c] + pi[c] 	Glycolysis/gluconeogenesis						MNXR97766
DPGM	Diphosphoglyceromutase	13dpg[c] <=> 23dpg[c] + h[c] 	Glycolysis/gluconeogenesis					rxn01216	MNXR97765
DPHMBDCm	3-Decaprenyl-4-Hydroxy-5-Methoxybenzoate Decarboxylation	3dpdhb_me[m] + h[m] -> 2dp6mep[m] + co2[m] 	Ubiquinone synthesis	4.1.1.-					MNXR97774
DPMVDx	Diphosphomevalonate Decarboxylase	5dpmev[x] + atp[x] -> adp[x] + co2[x] + ipdp[x] + pi[x] 	Cholesterol metabolism	4.1.1.33	R01121				MNXR97776
DPPS	Decaprenyl Synthase	frdp[c] + 7.0 ipdp[c] -> decdp[c] + 7.0 ppi[c] 	Miscellaneous	2.5.1.91	R09249			rxn10785	MNXR97778
DPROOp	D-Proline Oxidase, Perixosomal	o2[x] + pro_D[x] -> 1p2cbxl[x] + h[x] + h2o2[x] 	Arginine and proline metabolism	1.4.3.3					
DRIBt	Transport of Deoxyribose  via Diffusion	drib[e] <=> drib[c] 	Transport, extracellular						MNXR97783
DRPA	Deoxyribose-Phosphate Aldolase	2dr5p[c] -> acald[c] + g3p[c] 	Pentose phosphate pathway	4.1.2.4	R01066	K01619	COG0274		MNXR97787
DSAT	Dihydrosphingosine N-Acyltransferase	Rtotalcoa[c] + sphgn[c] -> coa[c] + dhcrm_hs[c] + h[c] 	Sphingolipid metabolism						MNXR97789
DTDPtn	Transport of dTDP, Nuclear	dtdp[c] <=> dtdp[n] 	Transport, nuclear						MNXR97803
DTTPtn	Transport of dTTP, Nuclear	dttp[c] <=> dttp[n] 	Transport, nuclear						MNXR97810
DUDPtn	Transport of dUDP, Nuclear	dudp[c] <=> dudp[n] 	Transport, nuclear						MNXR97812
DUMPtn	Transport of dUMP, Nuclear	dump[c] <=> dump[n] 	Transport, nuclear						MNXR97813
DURAD	Dihydrouracil Dehydrogenase (NADP)	56dura[c] + nadp[c] <=> h[c] + nadph[c] + ura[c] 	Pyrimidine catabolism	1.3.1.2	R00978	K00207		rxn00720	MNXR97814
DURAD2	Dihydrothymin Dehydrogenase (NADP)	56dthm[c] + nadp[c] <=> h[c] + nadph[c] + thym[c] 	Pyrimidine catabolism	1.3.1.2		K00207		rxn01028	MNXR97815
DURIK1	Deoxyuridine Kinase (ATP:Deoxyuridine)	atp[c] + duri[c] -> adp[c] + dump[c] + h[c] 	Nucleotide interconversion	2.7.1.145, 2.7.1.21	R02099	K00857	COG1435	rxn01518	MNXR97817
DURIK1m	Deoxyuridine Kinase (ATP:Deoxyuridine), Mitochondrial	atp[m] + duri[m] -> adp[m] + dump[m] + h[m] 	Nucleotide interconversion	2.7.1.145, 2.7.1.21	R02099				MNXR97817
DURIt	Transport of Deoxyuridine via Diffusion	duri[e] <=> duri[c]	Transport, extracellular						MNXR97819
DURItn	Transport of Deoxyuridine, Nuclear	duri[c] <=> duri[n] 	Transport, nuclear						MNXR97819
DUTPDPm	DUTP Diphosphatase	dutp[m] + h2o[m] -> dump[m] + h[m] + ppi[m] 	Nucleotide interconversion	3.6.1.-, 3.6.1.23, 3.6.1.9	R02100				MNXR97822
DUTPDPn	DUTP Diphosphatase, Nuclear	dutp[n] + h2o[n] -> dump[n] + h[n] + ppi[n] 	Nucleotide interconversion	3.6.1.-, 3.6.1.23, 3.6.1.9	R02100				MNXR97822
EAFLATOXINte	Transport of Aflatoxin B1 Exo-8,9-Epoxide	eaflatoxin[e] <=> eaflatoxin[c] 	Transport, extracellular						MNXR97844
EBASTINEOHte	Transport of Hydroxylated Ebastine	ebastineoh[e] <=> ebastineoh[c] 	Transport, extracellular						MNXR97869
EBASTINEOHtr	Transport of Hydroxylated Ebastine	ebastineoh[r] <=> ebastineoh[c] 	Transport, endoplasmic reticular						MNXR97869
EBASTINEte	Transport of Ebastine	ebastine[e] <=> ebastine[c] 	Transport, extracellular						MNXR97870
EBASTINEtr	Transport of Ebastine	ebastine[r] <=> ebastine[c] 	Transport, endoplasmic reticular						MNXR97870
EBP1r	3-Beta-Hydroxysteroid-Delta (8), Delta (7)-Isomerase	zymst[r] -> chlstol[r] 	Cholesterol metabolism	5.3.3.5					MNXR96689
EBP2r	3-Beta-Hydroxysteroid-Delta (8), Delta (7)-Isomerase	zymstnl[r] -> lthstrl[r] 	Cholesterol metabolism	5.3.3.5					MNXR96687
ECGISOr	Ecgonine Isomerase, Endoplasmatic Reticulum	ecgon[r] <=> pecgon[r] 	Alkaloid synthesis						
ECOAH12m	3-Hydroxyacyl Coenzyme A Dehydratase (3-Hydroxyisobutyryl Coenzyme A), Mitochondrial	2mp2coa[m] + h2o[m] <=> 3hibutcoa[m] 	Valine, leucine, and isoleucine metabolism	4.2.1.17	R04224				MNXR97885
ECOAH1m	3-Hydroxyacyl Coenzyme A Dehydratase (3-Hydroxybutanoyl Coenzyme A), Mitochondrial	3hbcoa[m] <=> b2coa[m] + h2o[m] 	Tryptophan metabolism	4.2.1.150, 4.2.1.17, 4.2.1.55	R03026				MNXR97883
ECOAH1x	3-Hydroxyacyl Coenzyme A Dehydratase (3-Hydroxybutanoyl Coenzyme A) (Perioxisome)	3hbcoa[x] <=> b2coa[x] + h2o[x] 	Tryptophan metabolism	4.2.1.150, 4.2.1.17, 4.2.1.55	R03026				MNXR97883
ECOAH9m	2-Methylprop-2-Enoyl Coenzyme A (2-Methylbut-2-Enoyl Coenzyme A), Mitochondrial	2mb2coa[m] + h2o[m] <=> 3hmbcoa[m] 	Valine, leucine, and isoleucine metabolism	4.2.1.17	R04204				MNXR97894
EGMESTr	Ecgonine Methyl Esterase, Endoplasmatic Reticulum	egme[r] + h2o[r] -> ecgon[r] + h[r] + meoh[r] 	Alkaloid synthesis	5.3.3.5					
EHGLAT2m	L-Erythro-4-Hydroxyglutamate:2-Oxoglutarate Aminotransferase 2, Mitochondrial	e4hglu[m] + oaa[m] -> 4h2oglt[m] + asp_L[m] 	Arginine and proline metabolism						MNXR97909
EHGLATm	L-Erythro-4-Hydroxyglutamate:2-Oxoglutarate Aminotransferase, Mitochondrial	akg[m] + e4hglu[m] -> 4h2oglt[m] + glu_L[m] 	Arginine and proline metabolism	2.6.1.23					MNXR97908
EICOSTETCPT1	Carnitine O-Palmitoyltransferase	crn[c] + eicostetcoa[c] <=> coa[c] + eicostetcrn[c] 	Fatty acid oxidation						MNXR97910
EICOSTETCPT2	Carnitine Transferase	coa[m] + eicostetcrn[m] <=> crn[m] + eicostetcoa[m] 	Fatty acid oxidation						MNXR97910
EICOSTETCRNt	Transport of 8Z,11Z,14Z,17Z-Eicosatetraenoylcarnitine, Mitochondrial	eicostetcrn[c] <=> eicostetcrn[m] 	Fatty acid oxidation						MNXR97911
EICOSTETt	Transport of Omega-3-Arachidonic Acid (Diffusion)	eicostet[e] <=> eicostet[c] 	Transport, extracellular						MNXR97912
ELAIDCPT1	Carnitine O-Palmitoyltransferase	crn[c] + od2coa[c] <=> coa[c] + elaidcrn[c] 	Fatty acid oxidation						MNXR97913
ELAIDCPT2	Carnitine Transferase	coa[m] + elaidcrn[m] <=> crn[m] + od2coa[m] 	Fatty acid oxidation						MNXR97913
ELAIDCRNt	Transport of (9E)-Octadecenoylcarnitine, Mitochondrial	elaidcrn[c] <=> elaidcrn[m] 	Fatty acid oxidation						MNXR97914
ELAIDt	Fatty Acid Transport via Diffusion	elaid[e] <=> elaid[c] 	Transport, extracellular						MNXR97915
ENGASE	Endo-Beta-N-Acetylglucosaminidase	h2o[c] + s2l2n2m2m[c] -> acgam[c] + s2l2n2m2mn[c] 	N-glycan degradation	3.2.1.96					
ENGASE2	Endo-Beta-N-Acetylglucosaminidase	h2o[c] + n2m2nm[c] -> acgam[c] + n2m2nmn[c] 	N-glycan degradation	3.2.1.96					
ENGASE2ly	Endo-Beta-N-Acetylglucosaminidase, Lysosomal	h2o[l] + n2m2nm[l] -> acgam[l] + n2m2nmn[l] 	N-glycan degradation						MNXR97920
ENGASE3ly	Endo-Beta-N-Acetylglucosaminidase, Lysosomal	h2o[l] + ksi_deg2[l] -> acgam[l] + ksi_deg3[l] 	Keratan sulfate degradation						MNXR97921
ENGASEly	Endo-Beta-N-Acetylglucosaminidase, Lysosomal	h2o[l] + s2l2n2m2m[l] -> acgam[l] + s2l2n2m2mn[l] 	N-glycan degradation						MNXR97919
ENMAN1g	Endomannosidase (Glc1Man-Producing), Golgi Apparatus	g1m8masn[g] + h2o[g] -> glc1man[g] + m7masnA[g] 	N-glycan synthesis						
ENMAN2g	Endomannosidase (Glc2Man-Producing), Golgi Apparatus	g2m8masn[g] + h2o[g] -> glc2man[g] + m7masnA[g] 	N-glycan synthesis	3.2.1.96					
ENMAN3g	Endomannosidase (Glc3Man-Producing), Golgi Apparatus	g3m8masn[g] + h2o[g] -> glc3man[g] + m7masnA[g] 	N-glycan synthesis	3.2.1.96					
ENMAN4g	Endomannosidase (M6Masnc-Producing), Golgi Apparatus	g1m7masnC[g] + h2o[g] -> glc1man[g] + m6masnC[g] 	N-glycan synthesis	3.2.1.96					
ENMAN5g	Endomannosidase (M6Masnb2-Producing), Golgi Apparatus	g1m7masnB[g] + h2o[g] -> glc1man[g] + m6masnB2[g] 	N-glycan synthesis	3.2.1.96					
ENMAN6g	Endomannosidase (M5Masnb1-Producing), Golgi Apparatus	g1m6masnB1[g] + h2o[g] -> glc1man[g] + m5masnB1[g] 	N-glycan synthesis	3.2.1.96					
EPCTX	Ethanolamine-Phosphate Cytidylyltransferase	2ameph[c] + ctp[c] + h[c] -> cmp2amep[c] + ppi[c] 	Glycerophospholipid metabolism	2.7.7.14					
ESTRADIOLGLCt	Estradiol Glucuronide Transport via Bicarbonate Antiport	estradiolglc[e] + hco3[c] <=> estradiolglc[c] + hco3[e] 	Transport, extracellular						MNXR97952
ESTRADIOLGLCt2	17-Beta-D-Glucuronide Transport (ATP-Dependent)	atp[c] + estradiolglc[c] + h2o[c] -> adp[c] + estradiolglc[e] + h[c] + pi[c] 	Transport, extracellular						MNXR97953
ESTRADIOLGLCtr	Glucuronidated Compound Transport	estradiolglc[c] <=> estradiolglc[r] 	Transport, endoplasmic reticular						MNXR97954
ESTRADIOLt	Transport of Estradiol 	estradiol[e] <=> estradiol[c] 	Transport, extracellular						MNXR97955
ESTRADIOLtr	Transport of Estradiol, Endoplasmatic Reticulum	estradiol[r] <=> estradiol[c] 	Transport, endoplasmic reticular						MNXR97955
ESTRIOLGLCte	Glucuronidated Compound Transport	atp[c] + estriolglc[c] + h2o[c] -> adp[c] + estriolglc[e] + h[c] + pi[c] 	Transport, extracellular						MNXR97956
ESTRIOLGLCtr	Glucuronidated Compound Transport	estriolglc[c] <=> estriolglc[r] 	Transport, endoplasmic reticular						MNXR97957
ESTRIOLtr	Transport of Estriol, Endoplasmatic Reticulum	estriol[r] <=> estriol[c] 	Transport, endoplasmic reticular						MNXR97958
ESTRONEGLCt	ABC Transporter	atp[c] + estroneglc[c] + h2o[c] -> adp[c] + estroneglc[e] + h[c] + pi[c] 	Transport, extracellular						MNXR97959
ESTRONEGLCtr	Glucuronidated Compound Transport	estroneglc[c] <=> estroneglc[r] 	Transport, endoplasmic reticular						MNXR97960
ESTRONESt	Transport of Estrone 3-Sulfate  via Bicarbonate Antiport	estrones[e] + hco3[c] <=> estrones[c] + hco3[e] 	Transport, extracellular						MNXR97961
ESTRONESt2	Transport of Estrone-3-Sulfate  via Sodium Symport	estrones[e] + 2.0 na1[e] -> estrones[c] + 2.0 na1[c] 	Transport, extracellular						MNXR97962
ESTRONEtr	Transport of Estrone, Endoplasmatic Reticulum	estrone[r] <=> estrone[c] 	Transport, endoplasmic reticular						MNXR97963
ESTSULT	Estrogen Sulfotransferase	estrone[c] + paps[c] -> estrones[c] + h[c] + pap[c] 	Steroid metabolism	2.8.2.4					MNXR97964
ETF	Electron Transfer Flavoprotein	etfox[m] + fadh2[m] -> etfrd[m] + fad[m] 	Fatty acid oxidation						MNXR97965
ETFQO	Electron Transfer Flavoprotein-Ubiquinone Oxidoreductase	etfrd[m] + q10[m] -> etfox[m] + q10h2[m] 	Fatty acid oxidation						MNXR97966
ETHAK	Ethanolamine Kinase	atp[c] + etha[c] -> adp[c] + ethamp[c] + h[c] 	Glycerophospholipid metabolism	2.7.1.82	R01468			rxn01071	MNXR97969
ETHP	Ethanolamine Phosphate Phosphatase	ethamp[c] + h2o[c] -> etha[c] + pi[c] 	Glycerophospholipid metabolism	3.1.3.75	R06870				MNXR97976
ETOHMO	Ethanol Monooxygenase	etoh[c] + h[c] + nadph[c] + o2[c] -> acald[c] + 2.0 h2o[c] + nadp[c] 	Glycolysis/gluconeogenesis						MNXR97979
ETOHtx	Transport of Ethanol, Reversible, Peroxisomal 	etoh[c] <=> etoh[x] 	Transport, peroxisomal						MNXR97980
EX_11_cis_retfa(e)	Exchange of Fatty Acid 11-Cis-Retinol 	11_cis_retfa[e] <=> 	Exchange/demand reaction						
EX_13_cis_retnglc(e)	Exchange of 13-Cis-Retinoyl Glucuronide 	13_cis_retnglc[e] <=> 	Exchange/demand reaction						
EX_1glyc_hs(e)	Exchange of 1 Acyl Phosphoglycerol 	1glyc_hs[e] <=> 	Exchange/demand reaction						
EX_2425dhvitd2(e)	Exchange of 24R, 25-Dihyoxyvitamin D2 	2425dhvitd2[e] <=> 	Exchange/demand reaction						
EX_2425dhvitd3(e)	Exchange of 24R, 25-Dihydroxyvitamin D3 	2425dhvitd3[e] <=> 	Exchange/demand reaction						
EX_24nph(e)	Exchange of 2, 4 Dihydroxy Nitrophenol 	24nph[e] <=> 	Exchange/demand reaction						
EX_25hvitd2(e)	Exchange of 25-Hydroxyvitamin D2 	25hvitd2[e] <=> 	Exchange/demand reaction						
EX_25hvitd3(e)	Exchange of 25-Hydroxyvitamin D3 	25hvitd3[e] <=> 	Exchange/demand reaction						
EX_2hb(e)	Exchange of 2-Hydroxybutyrate 	2hb[e] <=> 	Exchange/demand reaction						
EX_2mcit(e)	Exchange of 2-Methylcitrate 	2mcit[e] <=> 	Exchange/demand reaction						
EX_34dhoxpeg(e)	Exchange of 3, 4-Dihydroxyphenylethyleneglycol 	34dhoxpeg[e] <=> 	Exchange/demand reaction						
EX_34dhphe(e)	Exchange of 3, 4-Dihydroxy-L-Phenylalanine 	34dhphe[e] <=> 	Exchange/demand reaction						
EX_35cgmp(e)	Exchange of 3', 5'-Cyclic GMP 	35cgmp[e] <=> 	Exchange/demand reaction						
EX_3aib(e)	Exchange of L-3-Amino-Isobutanoate 	3aib[e] <=> 	Exchange/demand reaction						
EX_3aib_D(e)	Exchange of D-3-Amino-Isobutanoate 	3aib_D[e] <=> 	Exchange/demand reaction						
EX_3mlda(e)	Exchange of 3-Methylimidazoleacetic Acid 	3mlda[e] <=> 	Exchange/demand reaction						
EX_4hdebrisoquine(e)	Exchange of 4 Hydroxy Debrisoquine 	4hdebrisoquine[e] <=> 	Exchange/demand reaction						
EX_4hphac(e)	Exchange of 4-Hydroxyphenylacetate 	4hphac[e] <=> 	Exchange/demand reaction						
EX_4mptnl(e)	Exchange of 4-Methylpentanal 	4mptnl[e] <=> 	Exchange/demand reaction						
EX_4mtolbutamide(e)	Exchange of 4 Hydroxy Tolbutamide 	4mtolbutamide[e] <=> 	Exchange/demand reaction						
EX_4nph(e)	Exchange of 4-Nitrophenol 	4nph[e] <=> 	Exchange/demand reaction						
EX_4nphsf(e)	Exchange of 4-Nitrophenyl Sulfate 	4nphsf[e] <=> 	Exchange/demand reaction						
EX_4pyrdx(e)	Exchange of 4-Pyridoxate 	4pyrdx[e] <=> 	Exchange/demand reaction						
EX_5adtststerone(e)	Exchange of 5Alpha-Dihydrotestosterone 	5adtststerone[e] <=> 	Exchange/demand reaction						
EX_5adtststeroneglc(e)	Exchange of 5Alpha-Dihydrotestosterone Glucuronide 	5adtststeroneglc[e] <=> 	Exchange/demand reaction						
EX_5adtststerones(e)	Exchange of 5Alpha-Dihydrotestosterone Sulfate 	5adtststerones[e] <=> 	Exchange/demand reaction						
EX_5fthf(e)	Exchange of 5-Formyltetrahydrofolate 	5fthf[e] <=> 	Exchange/demand reaction						
EX_5homeprazole(e)	Exchange of 5 Hydroxy Omeprazole 	5homeprazole[e] <=> 	Exchange/demand reaction						
EX_5htrp(e)	Exchange of 5-Hydroxy-L-Tryptophan 	5htrp[e] <=> 	Exchange/demand reaction						
EX_5mthf(e)	Exchange of 5-Methyltetrahydrofolate	5mthf[e] <=> 	Exchange/demand reaction						
EX_6htststerone(e)	Exchange of 6 Beta Hydroxy Testosterone 	6htststerone[e] <=> 	Exchange/demand reaction						
EX_9_cis_retfa(e)	Exchange of Fatty Acid 9-Cis-Retinol 	9_cis_retfa[e] <=> 	Exchange/demand reaction						
EX_abt(e)	Exchange of L-Arabinitol 	abt[e] <=> 	Exchange/demand reaction						
EX_acetone(e)	Exchange of Acetone 	acetone[e] <=> 	Exchange/demand reaction						
EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs(e)	Exchange of Type Iiia Glycolipid 	acgalfucgalacgalfuc12gal14acglcgalgluside_hs[e] <=> 	Exchange/demand reaction						
EX_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs(e)	Exchange of Type Iiiab 	acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[e] <=> 	Exchange/demand reaction						
EX_ach(e)	Exchange of Acetylcholine 	ach[e] <=> 	Exchange/demand reaction						
EX_acn13acngalgbside_hs(e)	Exchange of Sialyl (1, 3) Sialyl (2, 6) Galactosylgloboside (Homo Sapiens) 	acn13acngalgbside_hs[e] <=> 	Exchange/demand reaction						
EX_acn23acngalgbside_hs(e)	Exchange of Sialyl (2, 3) Sialyl (2, 6) Galactosylgloboside (Homo Sapiens) 	acn23acngalgbside_hs[e] <=> 	Exchange/demand reaction						
EX_acnacngal14acglcgalgluside_hs(e)	Exchange of 3', 8'-Ld1 	acnacngal14acglcgalgluside_hs[e] <=> 	Exchange/demand reaction						
EX_acnacngalgbside_hs(e)	Exchange of Disialyl Galactosylgloboside (Homo Sapiens) 	acnacngalgbside_hs[e] <=> 	Exchange/demand reaction						
EX_acngalacglcgal14acglcgalgluside_hs(e)	Exchange of Vi3Neuac-Nlc6Cer 	acngalacglcgal14acglcgalgluside_hs[e] <=> 	Exchange/demand reaction						
EX_adrn(e)	Exchange of Adrenic Acid 	adrn[e] <=> 	Exchange/demand reaction						
EX_adrnl(e)	Exchange of Adrenaline 	adrnl[e] <=> 	Exchange/demand reaction						
EX_aflatoxin(e)	Exchange of Aflatoxin B1 	aflatoxin[e] <=> 	Exchange/demand reaction						
EX_ak2lgchol_hs(e)	Exchange of 1-Alkyl 2-Lysoglycerol 3-Phosphocholine 	ak2lgchol_hs[e] <=> 	Exchange/demand reaction						
EX_ala_B(e)	Exchange of Beta-Alanine 	ala_B[e] <=> 	Exchange/demand reaction					EX_cpd00085(e)	
EX_ala_D(e)	Exchange of D-Alanine 	ala_D[e] <=> 	Exchange/demand reaction					EX_cpd00117(e)	
EX_aldstrn(e)	Exchange of Aldosterone 	aldstrn[e] <=> 	Exchange/demand reaction						
EX_amp(e)	Exchange of AMP 	amp[e] <=> 	Exchange/demand reaction					EX_cpd00018(e)	
EX_andrstrn(e)	Exchange of Androsterone 	andrstrn[e] <=> 	Exchange/demand reaction						
EX_andrstrnglc(e)	Exchange of Androsterone Glucuronide 	andrstrnglc[e] <=> 	Exchange/demand reaction						
EX_antipyrene(e)	Exchange of Antipyrene 	antipyrene[e] <=> 	Exchange/demand reaction						
EX_apnnox(e)	Exchange of Alpha-Pinene-Oxide 	apnnox[e] <=> 	Exchange/demand reaction						
EX_appnn(e)	Exchange of (+)-Alpha-Pinene 	appnn[e] <=> 	Exchange/demand reaction						
EX_aprgstrn(e)	Exchange of 20Alpha-Hydroxyprogesterone 	aprgstrn[e] <=> 	Exchange/demand reaction						
EX_arach(e)	Exchange of Arachidate	arach[e] <=> 	Exchange/demand reaction						
EX_arachd(e)	Exchange of Nc20:4 	arachd[e] <=> 	Exchange/demand reaction						
EX_ascb_L(e)	Exchange of L-Ascorbate 	ascb_L[e] <=> 	Exchange/demand reaction						
EX_asp_D(e)	Exchange of D-Aspartate 	asp_D[e] <=> 	Exchange/demand reaction						
EX_avite1(e)	Exchange of Alpha-Tocopherol 	avite1[e] <=> 	Exchange/demand reaction						
EX_bhb(e)	Transport of (R)-3-Hydroxybutanoate  via H+ Symport	bhb[e] <=> 	Exchange/demand reaction					EX_cpd00797(e)	
EX_bildglcur(e)	Exchange of Bilirubin Beta-Diglucuronide 	bildglcur[e] <=> 	Exchange/demand reaction						
EX_bilglcur(e)	Exchange of Blirubin Mono-Glucuronide	bilglcur[e] <=> 	Exchange/demand reaction						
EX_bilirub(e)	Exchange of Bilirubin 	bilirub[e] <=> 	Exchange/demand reaction						
EX_camp(e)	Exchange of CAMP 	camp[e] <=> 	Exchange/demand reaction						
EX_caro(e)	Exchange of Beta-Carotene 	caro[e] <=> 	Exchange/demand reaction						
EX_carveol(e)	Exchange of (E)-Carveol 	carveol[e] <=> 	Exchange/demand reaction						
EX_chol(e)	Exchange of Choline	chol[e] <=> 	Exchange/demand reaction					EX_cpd00098(e)	
EX_cholate(e)	Exchange of Cholate	cholate[e] <=> 	Exchange/demand reaction						
EX_chsterol(e)	Exchange of Cholesterol	chsterol[e] <=> 	Exchange/demand reaction						
EX_chtn(e)	Exchange of Chitin 	chtn[e] <=> 	Exchange/demand reaction						
EX_clpnd(e)	Exchange of Clupanodonic Acid (Docosapentaenoic (N-3)) 	clpnd[e] <=> 	Exchange/demand reaction						
EX_cmp(e)	Exchange of CMP 	cmp[e] <=> 	Exchange/demand reaction					EX_cpd00046(e)	
EX_co(e)	Exchange of Carbon Monoxide 	co[e] <=> 	Exchange/demand reaction						
EX_coumarin(e)	Exchange of Coumarin 	coumarin[e] <=> 	Exchange/demand reaction						
EX_creat(e)	Exchange of Creatine 	creat[e] <=> 	Exchange/demand reaction						
EX_crmp_hs(e)	Exchange of Ceramide 1-Phosphate 	crmp_hs[e] <=> 	Exchange/demand reaction						
EX_crn(e)	Exchange of L-Carnitine	crn[e] <=> 	Exchange/demand reaction					EX_cpd00266(e)	
EX_crtsl(e)	Exchange of Cortisol 	crtsl[e] <=> 	Exchange/demand reaction						
EX_crtstrn(e)	Exchange of Corticosterone 	crtstrn[e] <=> 	Exchange/demand reaction						
EX_crvnc(e)	Exchange of Nc22:6 	crvnc[e] <=> 	Exchange/demand reaction						
EX_cspg_a(e)	Exchange of Chondroitin Sulfate A (Galnac4S-Glca) Proteoglycan 	cspg_a[e] <=> 	Exchange/demand reaction						
EX_cspg_b(e)	Exchange of Chondroitin Sulfate B / Dermatan Sulfate (Idoa2S-Galnac4S) Proteoglycan 	cspg_b[e] <=> 	Exchange/demand reaction						
EX_cspg_c(e)	Exchange of Chondroitin Sulfate C (Galnac6S-Glca) Proteoglycan 	cspg_c[e] <=> 	Exchange/demand reaction						
EX_cspg_e(e)	Exchange of Chondroitin Sulfate E (Galnac4, 6Dis-Glca) Proteoglycan 	cspg_e[e] <=> 	Exchange/demand reaction						
EX_cyan(e)	Exchange of Hydrogen Cyanide 	cyan[e] <=> 	Exchange/demand reaction						
EX_dag_hs(e)	Exchange of Diglyceride	dag_hs[e] <=> 	Exchange/demand reaction						
EX_dcsptn1(e)	Exchange of Docosa-4, 7, 10, 13, 16-Pentaenoic Acid (N-6) 	dcsptn1[e] <=> 	Exchange/demand reaction						
EX_debrisoquine(e)	Exchange of Debrisoquine 	debrisoquine[e] <=> 	Exchange/demand reaction						
EX_dgchol(e)	Exchange of Chenodeoxyglycocholate 	dgchol[e] <=> 	Exchange/demand reaction						
EX_dhdascb(e)	Exchange of Dehydroascorbide	dhdascb[e] <=> 	Exchange/demand reaction						
EX_dheas(e)	Exchange of Dehydroepiandrosterone Sulfate 	dheas[e] <=> 	Exchange/demand reaction						
EX_digalsgalside_hs(e)	Exchange of Digalactosylceramidesulfate 	digalsgalside_hs[e] <=> 	Exchange/demand reaction						
EX_dlnlcg(e)	Exchange of Dihomo-Gamma-Linolenic Acid (N-6) 	dlnlcg[e] <=> 	Exchange/demand reaction						
EX_dmantipyrine(e)	Exchange of Demethylated Antipyrine 	dmantipyrine[e] <=> 	Exchange/demand reaction						
EX_dmhptcrn(e)	Exchange of 2, 6 Dimethylheptanoyl Carnitine 	dmhptcrn[e] <=> 	Exchange/demand reaction						
EX_dopa(e)	Exchange of Dopamine 	dopa[e] <=> 	Exchange/demand reaction						
EX_dopasf(e)	Exchange of Dopamine 3-O-Sulfate 	dopasf[e] <=> 	Exchange/demand reaction						
EX_eaflatoxin(e)	Exchange of 8, 9 Epxoy Aflatoxin B1 	eaflatoxin[e] <=> 	Exchange/demand reaction						
EX_ebastine(e)	Exchange of Ebastine 	ebastine[e] <=> 	Exchange/demand reaction						
EX_ebastineoh(e)	Exchange of Hydroxylated Ebastine 	ebastineoh[e] <=> 	Exchange/demand reaction						
EX_eicostet(e)	Exchange of Eicosatetranoic Acid 	eicostet[e] <=> 	Exchange/demand reaction						
EX_elaid(e)	Exchange of Elaidic Acid 	elaid[e] <=> 	Exchange/demand reaction						
EX_estradiol(e)	Exchange of Estradiol 	estradiol[e] <=> 	Exchange/demand reaction						
