abbreviation,addedBy,biggId,charge,chargedFormula,cheBlId,cheBlId2,description,ehmnId,fullName,hepatonetId,hmdb,inchiString,keggId,lastModified,lmId,met_id,miriam,modifiedBy,neutralFormula,pdmapName,pubChemId,reconMap,smile,synonyms,url
7dhf,,,-8,C49H55N13O24,,,"Human Metabolome Database (HMDB): Heptaglutamyl folic acid is a naturally occurring form of folate. In contrast to synthetic folic acid, natural food folates are predominantly polyglutamates with a variable number of glutamate residues. (PMID 15831124). Approximately two-thirds of total folate intake from a mixed unfortified diet is in the polyglutamyl form, derived mainly from vegetables. These polyglutamates need to be hydrolysed to the monoglutamate form for normal absorption in the proximal small intestine. This process is controlled by the intestinal brush-border enzyme glutamate carboxypeptidase II (GCPII). (PMID 12042451).",,heptaglutamyl folate (DHF),,HMDB06559,"InChI=1/C54H68N14O27/c55-24(5-12-31(69)70)39(83)52(49(92)93,40(84)25(56)6-13-32(71)72)53(41(85)26(57)7-14-33(73)74,42(86)27(58)8-15-34(75)76)54(43(87)28(59)9-16-35(77)78,50(94)95-48(91)30(61)11-18-37(81)82)68(47(90)29(60)10-17-36(79)80)46(89)21-1-3-22(4-2-21)63-19-23-20-64-44-38(65-23)45(88)67-51(62)66-44/h1-4,20,24-30,63H,5-19,55-61H2,(H,69,70)(H,71,72)(H,73,74)(H,75,76)(H,77,78)(H,79,80)(H,81,82)(H,92,93)(H3,62,64,66,67,88)/t24-,25-,26-,27-,28-,29-,30-,54?/m0/s1",,2016-12-05T15:48:04Z,,139,,,,,,7dhf,,,http://vmh.uni.lu/_api/metabolites/139/?format=pcsv
7thf,,,-8,C49H57N13O24,,,heptaglutamyl folate (THF),,heptaglutamyl folate (THF),,,,,2016-11-22T15:11:45Z,,140,,,,,,7thf,,,http://vmh.uni.lu/_api/metabolites/140/?format=pcsv
m2mn,,,0,C26H45NO21,,,Human Metabolome Database (HMDB): (alpha-D-mannosyl)2-beta-D-mannosyl-N-acetylglucosamine is an intermediate in aminosugars metabolism. It is substrate of Lysosomal alpha-mannosidase.,,(alpha-D-mannosyl)2-beta-D-mannosyl-N-acetylglucosamine,,HMDB06537,"InChI=1/C26H45NO21/c1-6(32)27-11-15(36)20(10(5-31)42-23(11)41)46-25-18(39)22(14(35)8(3-29)44-25)48-26-19(40)21(13(34)9(4-30)45-26)47-24-17(38)16(37)12(33)7(2-28)43-24/h7-26,28-31,33-41H,2-5H2,1H3,(H,27,32)/t7-,8-,9-,10+,11+,12-,13-,14-,15+,16+,17+,18+,19+,20+,21+,22+,23+,24-,25+,26+/m0/s1",,2016-12-05T15:48:04Z,,141,,,,,53477854,m2mn,,"(alpha-D-mannosyl)2-beta-D-mannosyl-N-acetylglucosamine, (alpha-delta-mannosyl)2-beta-delta-mannosyl-N-acetylglucosamine, Not Available",http://vmh.uni.lu/_api/metabolites/141/?format=pcsv
man,,,0,C6H12O6,CHEBI:4208,,"Human Metabolome Database (HMDB): D-Mannose is a carbohydrate. High-mannose-type oligosaccharides have been shown to play important roles in protein quality control. Several intracellular proteins, such as lectins, chaperones and glycan-processing enzymes, are involved in this process. These include calnexin/calreticulin, UDP-glucose:glycoprotein glucosyltransferase (UGGT), cargo receptors (such as VIP36 and ERGIC-53), mannosidase-like proteins (e.g. EDEM and Htm1p) and ubiquitin ligase (Fbs). They are thought to recognize high-mannose-type glycans with subtly different structures. Mannose-binding lectin (MBL) is an important constituent of the innate immune system. This protein binds through multiple lectin domains to the repeating sugar arrays that decorate many microbial surfaces, and is then able to activate the complement system through a specific protease called MBL-associated protease-2. The primary pathway for the formation of L-fucose in procaryotic and eucaryotic cells is from D-mannose via an internal oxidation reduction and then epimerization of GDP-D-mannose to produce GDP-L-fucose. (PMID: 9488699, 16154739, 11414367).",,D-Mannose,,HMDB00169,,C00159,2016-12-05T15:48:04Z,,142,,,,D-mannose,18950,man,,"(+)-mannose, (+-)-mannose, Carubinose, D(+)-Mannose, D-Mannopyranose, D-Mannose, DL-mannose, Mannose, Seminose",http://vmh.uni.lu/_api/metabolites/142/?format=pcsv
mn,,,0,C14H25NO11,,,"Human Metabolome Database (HMDB): beta-1,4-mannose-N-acetylglucosamine is an intermediate in aminosugars metabolism. It is substrate of Lysosomal alpha-mannosidase.",,"beta-1,4-mannose-N-acetylglucosamine",,HMDB06535,"InChI=1/C14H25NO11/c1-4(18)15-7-9(20)12(6(3-17)24-13(7)23)26-14-11(22)10(21)8(19)5(2-16)25-14/h5-14,16-17,19-23H,2-3H2,1H3,(H,15,18)/t5-,6-,7-,8-,9-,10+,11+,12-,13-,14-/m1/s1",,2016-12-05T15:48:04Z,,143,,,,,53477853,mn,,"beta-1,4-Mannose-N-acetylglucosamine, Not Available",http://vmh.uni.lu/_api/metabolites/143/?format=pcsv
galgluside_hs,,,0,C30H56NO12FULLRCO,,,galactosyl glucosyl ceramide,,galactosyl glucosyl ceramide,,,,,2016-11-22T15:11:45Z,,144,,,,,,galgluside_hs,,,http://vmh.uni.lu/_api/metabolites/144/?format=pcsv
udpgal,,,-2,C15H22N2O17P2,CHEBI:18307,,"Human Metabolome Database (HMDB): Uridine diphosphategalactose (UDPgal) is a nucleoside diphosphate sugar which can be epimerized into UDPglucose for entry into the mainstream of carbohydrate metabolism. UDPgal is a pivotal compound in the metabolism of galactose. UDPgal is a product of the galactose-l-phosphate uridyl transferase (EC 2.7.7.10) reaction but may also be made from Glucose-l-P, involving uridine diphosphate galactose-4-epimerase (EC 5.1.3.2). UDPgal is the necessary galactosyl donor of galactose in the metabolism to incorporate it into complex oligosaccharides, glycoproteins and glycolipids (galactosides). Defective galactosylation of complex glycoconjugates exists in tissues from galactosemic patients. There is a tendency for galactosemic red cell UDPgal to be in the low normal range with a high uridine diphosphate glucose to UDP-gal ratio. This may reflect an inability of red cell UDPgal-4'-epimerase to maintain a normal ratio and consequently higher levels of UDPgal. In the more complex white blood cells and cultured fibroblasts, the UDPgal content and the uridine diphosphate glucose to UDPgal ratio of galactosemics are normal. Therefore, defective galactosylation observed in galactosemic fibroblasts must result from a defect in the transfer of galactose from UDPgal to these moieties. (PMID: 2122114, 7671968).",,UDP-D-galactose(2-),,HMDB00302,"InChI=1S/C15H24N2O17P2/c18-3-5-8(20)10(22)12(24)14(32-5)33-36(28,29)34-35(26,27)30-4-6-9(21)11(23)13(31-6)17-2-1-7(19)16-15(17)25/h1-2,5-6,8-14,18,20-24H,3-4H2,(H,26,27)(H,28,29)(H,16,19,25)/p-2/t5-,6-,8+,9-,10+,11-,12-,13-,14?/m1/s1",C00052,2016-12-05T15:48:04Z,,145,,,,,6857410,udpgal,,"GDU, UDP Galactose, UDP-a-D-Galactose, UDP-alpha-D-Galactose, UDP-alpha-delta-Galactose, UDP-D-Galactopyranose, UDP-D-Galactose, UDP-delta-Galactopyranose, UDP-delta-Galactose, UDP-Gal, UDP-Galactopyranose, UDP-Galactose, Udpgal, UDPgalactose, UPG, Uridine 5'-(alpha-D-galactopyranosyl pyrophosphate), Uridine 5'-(alpha-delta-galactopyranosyl pyrophosphate), Uridine 5'-diphosphate galactose, Uridine 5'-diphosphogalactose, Uridine 5'-pyrophosphate a-D-galactopyranosyl ester, Uridine 5'-pyrophosphate a-D-galactosyl ester, Uridine 5'-pyrophosphate a-delta-galactopyranosyl ester, Uridine 5'-pyrophosphate a-delta-galactosyl ester, Uridine 5'-pyrophosphate alpha-D-galactosyl ester, Uridine 5'-pyrophosphate alpha-delta-galactosyl ester, Uridine 5'-pyrophosphate D-galactosyl ester, Uridine 5'-[3-(D-galactopyranosyl) dihydrogen diphosphate], Uridine diphosphate galactose, Uridine diphosphate-D-galactose, Uridine diphosphate-delta-galactose, Uridine diphosphate-galactose, Uridine diphosphogalactose, Uridine pyrophosphate a-D-galactopyranosyl ester, Uridine pyrophosphate a-delta-galactopyranosyl ester, Uridine pyrophosphate alpha-D-galactopyranosyl ester, Uridine pyrophosphate alpha-delta-galactopyranosyl ester, Uridine pyrophosphogalactose, Uridinediphosphate galactose, Uridinediphosphogalactose",http://vmh.uni.lu/_api/metabolites/145/?format=pcsv
thcrm_hs,,,0,C36H66NO17FULLRCO,CHEBI:18313,,trihexosyl ceramide,,trihexosyl ceramide,,,,,2016-11-22T15:11:45Z,,146,,,,,,thcrm_hs,,,http://vmh.uni.lu/_api/metabolites/146/?format=pcsv
udp,,,-3,C9H11N2O12P2,CHEBI:17659,,"Human Metabolome Database (HMDB): Uridine 5'-diphosphate is a uracil nucleotide containing a pyrophosphate group esterified to C5 of the sugar moiety. UDP is an important extracellular pyrimidine signaling molecule that mediates diverse biological effects via P1 and P2 purinergic receptors, such as the uptake of thymidine and proliferation of gliomas. (PMID: 14558596). UDP induces intracellular Ca(2+) responses and oscillations in HeLa cells, due to the activation of P2Ys (G-protein coupled ATP receptors). (PMID: 1257952).",,UDP,,HMDB00295,"InChI=1S/C9H14N2O12P2/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(22-8)3-21-25(19,20)23-24(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H,10,12,15)(H2,16,17,18)/p-3/t4-,6-,7-,8-/m1/s1",C00015,2016-12-05T15:48:04Z,,147,,,,UDP,6031,udp,,"5'-UDP, UDP, Uridine 5'-diphosphate, Uridine 5'-pyrophosphate, Uridine 5'-pyrophosphorate, Uridine 5'-pyrophosphoric acid, Uridine diphosphate, Uridine pyrophosphate",http://vmh.uni.lu/_api/metabolites/147/?format=pcsv
T_antigen,,,0,C14H24NO10X,CHEBI:16117,,T antigen (core 1),,T antigen (core 1),,,,,2016-11-22T15:11:45Z,,148,,,,,,T_antigen,,,http://vmh.uni.lu/_api/metabolites/148/?format=pcsv
uacgam,,,-2,C17H25N3O17P2,CHEBI:16264,,UDP-N-acetyl-alpha-D-glucosamine(2-),,UDP-N-acetyl-alpha-D-glucosamine(2-),,,"InChI=1S/C17H27N3O17P2/c1-6(22)18-10-13(26)11(24)7(4-21)35-16(10)36-39(31,32)37-38(29,30)33-5-8-12(25)14(27)15(34-8)20-3-2-9(23)19-17(20)28/h2-3,7-8,10-16,21,24-27H,4-5H2,1H3,(H,18,22)(H,29,30)(H,31,32)(H,19,23,28)/p-2/t7-,8-,10-,11-,12-,13-,14-,15-,16-/m1/s1",C00043,2016-11-22T15:11:45Z,,149,,,,,445675,uacgam,,,http://vmh.uni.lu/_api/metabolites/149/?format=pcsv
gncore1,,,0,C22H37N2O15X,,,"GlcNAc-alpha-1,4-Core 1",,"GlcNAc-alpha-1,4-Core 1",,,,,2016-11-22T15:11:45Z,,150,,,,,,gncore1,,,http://vmh.uni.lu/_api/metabolites/150/?format=pcsv
core2,,,0,C22H37N2O15X,CHEBI:15876,,Core 2,,Core 2,,,,,2016-11-22T15:11:45Z,,151,,,,,,core2,,,http://vmh.uni.lu/_api/metabolites/151/?format=pcsv
gncore2,,,0,C30H50N3O20X,,,"GlcNAc-alpha-1,4-Core 2",,"GlcNAc-alpha-1,4-Core 2",,,,,2016-11-22T15:11:45Z,,152,,,,,,gncore2,,,http://vmh.uni.lu/_api/metabolites/152/?format=pcsv
acac,,,-1,C4H5O3,CHEBI:13705,,"Human Metabolome Database (HMDB): It is a weak organic acid and can be produced in the human liver under certain conditions of poor metabolism leading to excessive fatty acid breakdown (diabetes mellitus leading to diabetic ketoacidosis), it is then partially converted to acetone by decarboxylation and excreted either in urine or through respiration. Persistent mild hyperketonemia is a common finding in newborns. These compounds serve as an indispensable source of energy for extrahepatic tissues, especially the brain and lung of developing rats. Another important function of ketone bodies is to provide acetoacetyl-CoA and acetyl-CoA for synthesis of cholesterol, fatty acids, and complex lipids. During the early postnatal period, acetoacetate (AcAc) and beta-hydroxybutyrate are preferred over glucose as substrates for synthesis of phospholipids and sphingolipids in accord with requirements for brain growth and myelination. Thus, during the first 2 wk of postnatal development, when the accumulation of cholesterol and phospholipids accelerates, the proportion of ketone bodies incorporated into these lipids increases. On the other hand, an increased proportion of ketone bodies are utilized for cerebroside synthesis during the period of active myelination. In the lung, AcAc serves better than glucose as a precursor for the synthesis of lung phospholipids. The synthesized lipids, particularly dipalmityl phosphatidylcholine, are incorporated into surfactant, and thus have a potential role in supplying adequate surfactant lipids to maintain lung function during the early days of life. (PMID 3884391) The acid is also present in the metabolism of those undergoing starvation or prolonged physical exertion as part of gluconeogenesis. When ketone bodies are measured by way of urine concentration, acetoacetic acid, along with beta-hydroxybutyric acid or acetone, is what is detected.",,acetoacetate,,HMDB00060,"InChI=1S/C4H6O3/c1-3(5)2-4(6)7/h2H2,1H3,(H,6,7)/p-1",C00164,2016-12-05T15:48:04Z,,153,,,,,96,acac,,"3-Ketobutyrate, 3-Ketobutyric acid, 3-Oxo-butanoate, 3-Oxo-butanoic acid, 3-Oxobutyrate, 3-Oxobutyric acid, Acetoacetate, Diacetate, Diacetic acid",http://vmh.uni.lu/_api/metabolites/153/?format=pcsv
aacoa,,,-4,C25H36N7O18P3S,CHEBI:15345,,Acetoacetyl-CoA,,Acetoacetyl-CoA,,,"InChI=1S/C25H40N7O18P3S/c1-13(33)8-16(35)54-7-6-27-15(34)4-5-28-23(38)20(37)25(2,3)10-47-53(44,45)50-52(42,43)46-9-14-19(49-51(39,40)41)18(36)24(48-14)32-12-31-17-21(26)29-11-30-22(17)32/h11-12,14,18-20,24,36-37H,4-10H2,1-3H3,(H,27,34)(H,28,38)(H,42,43)(H,44,45)(H2,26,29,30)(H2,39,40,41)/p-4/t14-,18-,19-,20+,24-/m1/s1",C00332,2016-11-22T15:11:45Z,,154,,,,acetoacetyl-CoA,439214,aacoa,,,http://vmh.uni.lu/_api/metabolites/154/?format=pcsv
amp,,,-2,C10H12N5O7P,CHEBI:16027,,"Human Metabolome Database (HMDB): Adenosine monophosphate, also known as 5'-adenylic acid and abbreviated AMP, is a nucleotide that is found in RNA. It is an ester of phosphoric acid with the nucleoside adenosine. AMP consists of the phosphate group, the pentose sugar ribose, and the nucleobase adenine. AMP can be produced during ATP synthesis by the enzyme adenylate kinase. AMP has recently been approved as a 'Bitter Blocker' additive to foodstuffs. When AMP is added to bitter foods or foods with a bitter aftertaste it makes them seem 'sweeter'. This potentially makes lower calorie food products more palatable.",,AMP,,HMDB00045,"InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/p-2/t4-,6-,7-,10-/m1/s1",C00020,2016-12-05T15:48:04Z,,155,,,,AMP,6083,amp,,"5'-Adenosine monophosphate, 5'-Adenylate, 5'-Adenylic acid, 5'-AMP, Adenosine 5'-monophosphate, Adenosine 5'-phosphate, Adenosine 5'-phosphorate, Adenosine 5'-phosphoric acid, Adenosine phosphate, Adenosine-5'-monophosphorate, Adenosine-5'-monophosphoric acid, Adenosine-5-monophosphorate, Adenosine-5-monophosphoric acid, Adenosine-monophosphate, Adenosine-phosphate, Adenovite, Adenylate, Adenylic acid, AMP, Cardiomone, Lycedan, Muscle adenylate, Muscle adenylic acid, My-B-Den, My-beta-Den, Phosaden, Phosphaden, Phosphentaside",http://vmh.uni.lu/_api/metabolites/155/?format=pcsv
ppi,,,-3,HO7P2,CHEBI:18361,,"Human Metabolome Database (HMDB): In chemistry, the anion, the salts, and the esters of pyrophosphoric acid are called pyrophosphates. The anion is abbreviated PPi and is formed by the hydrolysis of ATP into AMP in cells. This hydrolysis is called pyrophosphorolysis. The pyrophosphate anion has the structure P2O74-, and is an acid anhydride of phosphate. It is unstable in aqueous solution and rapidly hydrolyzes into inorganic phosphate.",,Diphosphate,,HMDB00250,"InChI=1S/H4O7P2/c1-8(2,3)7-9(4,5)6/h(H2,1,2,3)(H2,4,5,6)/p-3",C00013,2016-12-05T15:48:04Z,,156,,,,,1023,ppi,,"(4-)Diphosphoric acid ion, (P2O74-)Diphosphate, Diphosphate, Diphosphoric acid, PPi, Pyrometaphosphate, Pyrophosphate, Pyrophosphate tetraanion, Pyrophosphate(4-) ion",http://vmh.uni.lu/_api/metabolites/156/?format=pcsv
aact,,,1,C3H8NO,,,ammonioacetone,,ammonioacetone,,,"InChI=1S/C3H7NO/c1-3(5)2-4/h2,4H2,1H3/p+1",C01888,2016-11-22T15:11:45Z,,157,,,,,215,aact,,,http://vmh.uni.lu/_api/metabolites/157/?format=pcsv
mthgxl,,,0,C3H4O2,CHEBI:17158,,methylglyoxal,,methylglyoxal,,,"InChI=1S/C3H4O2/c1-3(5)2-4/h2H,1H3",C00546,2016-11-22T15:11:45Z,,158,,,,,880,mthgxl,,,http://vmh.uni.lu/_api/metabolites/158/?format=pcsv
L2aadp6sa,,,0,C6H11NO3,CHEBI:17917,,"Human Metabolome Database (HMDB): Allysine is a derivative of Lysine, used in the production of elastin and collagen. It is produced by the actions of the enzyme lysyl oxidase in the extracellular matrix and is essential in the crosslink formation that stabilizes collagen and elastin.",,L-allysine,,HMDB01263,"InChI=1S/C6H11NO3/c7-5(6(9)10)3-1-2-4-8/h4-5H,1-3,7H2,(H,9,10)/t5-/m0/s1",C04076,2016-12-05T15:48:04Z,,159,,,,,207,L2aadp6sa,,"(2S)-2-amino-6-oxohexanoate, (2S)-2-amino-6-oxohexanoic acid, 2-Amino-5-formylvalerate, 2-Amino-5-formylvaleric acid, 2-Amino-hexanedioate, 2-Amino-hexanedioic acid, 2-Amino-hexanedioic acid semialdhyde, 2-Aminoadipate 6-semialdehyde, 2-Aminoadipate semialdehyde, 2-Aminoadipate-6-semialdehyde, 5-Formyl-Norvaline, 6-Oxo-L-norleucine, 6-Oxo-Norleucine, Allysine, alpha-Aminoadipic acid delta-semialdehyde, alpha-Aminoadipic delta-semialdehyde, alpha-Aminoadipic semialdehyde, L-2-Aminoadipate 6-semialdehyde, L-6-Oxonorleucine, L-Allysine",http://vmh.uni.lu/_api/metabolites/159/?format=pcsv
fucgalacglcgalgluside_hs,,,0,C50H89N2O26FULLRCO,,,Type IH glycolipid,,Type IH glycolipid,,,,,2016-11-22T15:11:45Z,,160,,,,,,fucgalacglcgalgluside_hs,,,http://vmh.uni.lu/_api/metabolites/160/?format=pcsv
udpacgal,,,-2,C17H25N3O17P2,CHEBI:16650,,UDP-N-acetyl-D-galactosamine(2-),,UDP-N-acetyl-D-galactosamine(2-),,,"InChI=1S/C17H27N3O17P2/c1-6(22)18-10-13(26)11(24)7(4-21)35-16(10)36-39(31,32)37-38(29,30)33-5-8-12(25)14(27)15(34-8)20-3-2-9(23)19-17(20)28/h2-3,7-8,10-16,21,24-27H,4-5H2,1H3,(H,18,22)(H,29,30)(H,31,32)(H,19,23,28)/p-2/t7-,8-,10-,11+,12-,13-,14-,15-,16?/m1/s1",C00203,2016-11-22T15:11:45Z,,161,,,,,6419712,udpacgal,,,http://vmh.uni.lu/_api/metabolites/161/?format=pcsv
acgalfucgalacglcgalgluside_hs,,,0,C58H102N3O31FULLRCO,,,Type IA glycolipid,,Type IA glycolipid,,,,,2016-11-22T15:11:45Z,,162,,,,,,acgalfucgalacglcgalgluside_hs,,,http://vmh.uni.lu/_api/metabolites/162/?format=pcsv
galfucgalacglcgalgluside_hs,,,0,C56H99N2O31FULLRCO,,,Type IB glycolipid,,Type IB glycolipid,,,,,2016-11-22T15:11:45Z,,163,,,,,,galfucgalacglcgalgluside_hs,,,http://vmh.uni.lu/_api/metabolites/163/?format=pcsv
fuc12gal14acglcgalgluside_hs,,,0,C50H89N2O26FULLRCO,,,Type IIH glycolipid,,Type IIH glycolipid,,,,,2016-11-22T15:11:45Z,,164,,,,,,fuc12gal14acglcgalgluside_hs,,,http://vmh.uni.lu/_api/metabolites/164/?format=pcsv
galfuc12gal14acglcgalgluside_hs,,,0,C56H99N2O31FULLRCO,,,(Gal)3 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1,,(Gal)3 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1,,,,,2016-11-22T15:11:45Z,,165,,,,,,galfuc12gal14acglcgalgluside_hs,,,http://vmh.uni.lu/_api/metabolites/165/?format=pcsv
acgalfuc12gal14acglcgalgluside_hs,,,0,C58H102N3O31FULLRCO,,,(Gal)2 (GalNAc)1 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1,,(Gal)2 (GalNAc)1 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1,,,,,2016-11-22T15:11:45Z,,166,,,,,,acgalfuc12gal14acglcgalgluside_hs,,,http://vmh.uni.lu/_api/metabolites/166/?format=pcsv
fucgalacgalfuc12gal14acglcgalgluside_hs,,,0,C70H122N3O40FULLRCO,,,Type IIIH glycolipid,,Type IIIH glycolipid,,,,,2016-11-22T15:11:45Z,,167,,,,,,fucgalacgalfuc12gal14acglcgalgluside_hs,,,http://vmh.uni.lu/_api/metabolites/167/?format=pcsv
acgalfucgalacgalfuc12gal14acglcgalgluside_hs,,,0,C78H135N4O45FULLRCO,,,Type IIIA glycolipid,,Type IIIA glycolipid,,,,,2016-11-22T15:11:45Z,,168,,,,,,acgalfucgalacgalfuc12gal14acglcgalgluside_hs,,,http://vmh.uni.lu/_api/metabolites/168/?format=pcsv
fucgalacglcgal14acglcgalgluside_hs,,,0,C64H112N3O36FULLRCO,,,VI2Fuc-nLc6,,VI2Fuc-nLc6,,,,,2016-11-22T15:11:45Z,,169,,,,,,fucgalacglcgal14acglcgalgluside_hs,,,http://vmh.uni.lu/_api/metabolites/169/?format=pcsv
acgalfucgalacglcgal14acglcgalgluside_hs,,,0,C72H125N4O41FULLRCO,,,(Gal)3 (GalNAc)1 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1,,(Gal)3 (GalNAc)1 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1,,,,,2016-11-22T15:11:45Z,,170,,,,,,acgalfucgalacglcgal14acglcgalgluside_hs,,,http://vmh.uni.lu/_api/metabolites/170/?format=pcsv
fucgalacgalfucgalacglcgal14acglcgalgluside_hs,,,0,C84H145N4O50FULLRCO,,,(Gal)4 (GalNAc)1 (Glc)1 (GlcNAc)2 (LFuc)2 (Cer)1,,(Gal)4 (GalNAc)1 (Glc)1 (GlcNAc)2 (LFuc)2 (Cer)1,,,,,2016-11-22T15:11:45Z,,171,,,,,,fucgalacgalfucgalacglcgal14acglcgalgluside_hs,,,http://vmh.uni.lu/_api/metabolites/171/?format=pcsv
acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs,,,0,C92H158N5O55FULLRCO,,,Type IIIAb,,Type IIIAb,,,,,2016-11-22T15:11:45Z,,172,,,,,,acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs,,,http://vmh.uni.lu/_api/metabolites/172/?format=pcsv
galfucgalacglcgal14acglcgalgluside_hs,,,0,C70H122N3O41FULLRCO,,,(Gal)4 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1,,(Gal)4 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1,,,,,2016-11-22T15:11:45Z,,173,,,,,,galfucgalacglcgal14acglcgalgluside_hs,,,http://vmh.uni.lu/_api/metabolites/173/?format=pcsv
fucfucgalacglcgalacglcgal14acglcgalgluside_hs,,,0,C84H145N4O50FULLRCO,,,(Gal)4 (Glc)1 (GlcNAc)3 (LFuc)2 (Cer)1,,(Gal)4 (Glc)1 (GlcNAc)3 (LFuc)2 (Cer)1,,,,,2016-11-22T15:11:45Z,,174,,,,,,fucfucgalacglcgalacglcgal14acglcgalgluside_hs,,,http://vmh.uni.lu/_api/metabolites/174/?format=pcsv
